"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa00620","Pyruvate metabolism",36,-0.56997986847792,-1.84694545461676,0.00154422253904805,0.00915643932536821,0.00634248217032462,4143,"tags=61%, list=27%, signal=45%","LDHC/DLAT/ACYP1/ACAT1/PDHB/ALDH3A2/ACSS2/MDH2/AKR1A1/PDHA1/ALDH7A1/GRHPR/ME1/ACSS1/MDH1/ACACA/FH/LDHAL6B/ACAT2/LDHD/ALDH1B1/ME3"
"hsa04940","Type I diabetes mellitus",33,0.642594983567455,1.81074028437576,0.00152568900503125,0.00915643932536821,0.00634248217032462,1697,"tags=42%, list=11%, signal=38%","IL1B/IL12B/CD80/IL1A/HLA-DOB/HLA-F/TNF/FAS/HLA-A/HLA-G/CD86/HLA-E/HLA-C/HLA-B"
"hsa05145","Toxoplasmosis",100,0.488633279367514,1.69004812766914,0.00155238482815151,0.00915643932536821,0.00634248217032462,3135,"tags=40%, list=20%, signal=32%","IL12B/LAMB1/BIRC3/NFKBIA/SOCS1/HLA-DOB/TLR2/LAMA3/CD40/STAT1/IL10RA/NFKB1/HSPA6/TNF/LAMB3/LAMC2/AKT3/RELA/MAPK11/IFNGR2/STAT3/HSPA1B/JAK2/JAK1/HSPA1A/CASP3/PIK3R5/NFKBIB/LAMC1/IRAK4/CASP8/TNFRSF1A/IFNGR1/LAMA5/BIRC2/CCR5/LDLR/CASP9/PPIF/LAMA4"
"hsa04612","Antigen processing and presentation",57,0.542535290028719,1.71060770884657,0.00162509424512792,0.00942554662174194,0.00652888740586481,2211,"tags=37%, list=14%, signal=32%","KIR2DL4/HLA-DOB/HLA-F/TAP1/PSME2/TAP2/HSPA6/TNF/HLA-A/HLA-G/HSPA2/PSME1/HLA-E/B2M/RFX5/HLA-C/HSPA1B/HLA-B/CTSL/HSPA1A/TAPBP"
"hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",85,0.490976988750985,1.65254394682123,0.00171861483812391,0.00980455678142821,0.00679142015410484,2273,"tags=31%, list=15%, signal=26%","CD274/BATF2/NFKBIA/TLR2/BATF3/STAT1/NFKB1/CD247/BATF/RASGRP1/HIF1A/AKT3/PPP3CC/RELA/NFKBIE/MAPK11/IFNGR2/STAT3/TICAM2/JAK2/PRKCQ/ZAP70/LCK/JAK1/EGF/PDCD1"
"hsa05340","Primary immunodeficiency",26,0.670099922095014,1.80681819878742,0.00188559222055008,0.0103741930511238,0.00718599579161327,2089,"tags=38%, list=13%, signal=33%","IL7R/JAK3/ADA/CD40/TAP1/TAP2/CD19/RFX5/ZAP70/LCK"
"hsa05033","Nicotine addiction",11,0.797075009119098,1.75709424737974,0.00190789757262047,0.0103741930511238,0.00718599579161327,2323,"tags=73%, list=15%, signal=62%","CACNA1A/CHRNA6/CHRNB2/GRIN2D/GRIN3A/CHRNA7/CHRFAM7A/GABRR2"
"hsa05415","Diabetic cardiomyopathy",184,-0.343824410072351,-1.45404443866468,0.00189884945103952,0.0103741930511238,0.00718599579161327,4638,"tags=54%, list=30%, signal=38%","COX6B1/MT-ND6/NDUFA1/MAPK9/COX7C/UQCR11/COX4I1/MT-ND3/NCF2/COXFA4/ATP2A3/MT-ND1/PARP1/SLC25A4/VDAC1/ATP5PD/NDUFB5/ATP5F1C/PIK3CD/PPARA/CYC1/PPP1CA/TGFB1/PIK3R1/NDUFA8/NDUFA11/COX8A/ATP5MC2/PDHB/UQCRB/NDUFB10/CTSD/ATP5F1B/NDUFB6/NDUFA7/NDUFA5/INSR/MT-CYB/MT-ND4/ATP5PF/MT-ND4L/MT-ATP6/MT-ATP8/NDUFA10/TGFBR2/UQCRC1/SLC25A6/SDHC/SDHB/NDUFS5/MT-ND2/NDUFV1/NDUFA3/NDUFS3/NDUFB7/MT-CO3/UQCRQ/UQCR10/PDHA1/ATP5F1A/COX5A/NDUFS1/COX5B/COX7B/NDUFB2/ATP5PO/NDUFAB1/NDUFS6/NDUFV3/UQCRH/UQCRC2/NDUFS7/PIK3R2/ACE/CAMK2D/NDUFS8/PDK4/MPC2/GSR/ATP5PB/SMAD3/ATP5F1D/MAPK13/ATP5MC3/RAC2/SLC25A5/MPC1/PRKCB/PDK3/ATP5MC1/NDUFB9/TGFB2/PLCB2/IRS1/TGFBR1/CD36/PRKCA/TBC1D4/CAMK2B"
"hsa04981","Folate transport and metabolism",23,-0.636639839695299,-1.82215238703682,0.00201558152444106,0.0106276116743256,0.00736153379740037,2406,"tags=52%, list=15%, signal=44%","ABCC4/MTHFD1/DHFR/FOLR2/ABCC5/SLCO2B1/SLC46A1/SHMT1/FOLR1/TYMS/SLC19A1/ABCG2"
"hsa04514","Cell adhesion molecule (CAM) interaction",107,0.465921541067042,1.62954881628063,0.00199373800252045,0.0106276116743256,0.00736153379740037,2493,"tags=36%, list=16%, signal=31%","ITGB8/CD80/VCAN/SIGLEC1/CD274/NTNG2/CD226/HLA-DOB/HLA-F/NEO1/CD40/ICAM1/NECTIN3/PDCD1LG2/CDH5/NLGN2/NECTIN2/NLGN4Y/CNTNAP1/HLA-A/HLA-G/CD86/NRCAM/NFASC/ITGAV/HLA-E/PTPRF/HLA-C/PVR/SELL/HLA-B/L1CAM/LRRC4B/CLDN23/CLDN7/PDCD1/VSIR/PTPRS/CLDN11"
