"SYMBOL","LPS_logFC","LPS_adjP","LPS_regulation","Sepsis_logFC","Sepsis_adjP","Sepsis_regulation","LPS_sig","Sepsis_sig","both_sig","same_direction","overlap_class"
"ACSS1",-1.3617005877764,0.00303016287484281,"Down",-0.582153172673551,1.15405640193198e-15,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"RPS3A",-1.00927630272508,0.00303157346317975,"Down",0.693209963577961,1.63359454217262e-05,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"RASGRP1",2.19070350529748,0.00303742306197938,"Up",-1.35672691638075,1.2364689427132e-18,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"SHANK1",-3.10976236095789,0.00304568248949955,"Down",-0.903757037419167,2.40941559813798e-16,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"DEPDC1",-3.85202299889209,0.00307820726647453,"Down",1.23314678060739,2.6850286313122e-08,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"GLRX5",-1.21850278434197,0.00310248035902291,"Down",0.901587138982621,1.24613183415669e-07,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"TNFRSF1A",1.02533111227039,0.00312064869210103,"Up",0.613962957209242,6.96789101605262e-13,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SHCBP1",-1.99107855350728,0.00312318002606942,"Down",0.864364019280009,6.85776639165376e-11,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"URB2",-1.68497254531625,0.0031240560438875,"Down",-0.839083629909146,2.48799237037512e-18,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"DNMT1",-1.11843559115078,0.00312408672971482,"Down",-0.921496907799054,3.34845145687922e-16,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"BATF",2.34321944987315,0.00312408672971482,"Up",1.38936348590413,1.90537597425553e-22,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
