"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"MSRB3",0.701339727711494,10.1230515167393,6.86476987988453,1.53231966165694e-09,6.25667328573213e-09,11.1895670294606,"Up"
"FBXO30",0.629498173479387,12.1882659204939,6.86434565471053,1.53513937653736e-09,6.26685404924466e-09,11.1877539340499,"Up"
"BUB3",-0.265827965382201,13.3086448093956,-6.86353702674985,1.54052839946332e-09,6.2875168660774e-09,11.1842980122614,"Not significant"
"DHODH",-0.459390052508615,10.0505007260467,-6.86164926352832,1.55318246332181e-09,6.33781615876938e-09,11.1762304408748,"Not significant"
"FN3KRP",-0.423776596616418,11.4646842861938,-6.85822254353695,1.57641682907331e-09,6.43125820452408e-09,11.1615872837578,"Not significant"
"PNPLA2",0.473871317327212,15.4658341238162,6.85792989973604,1.5784169835942e-09,6.43805041120634e-09,11.1603368290512,"Not significant"
"PLAUR",0.587519802380571,14.2686296357719,6.85776513683924,1.57954420977682e-09,6.44127998733155e-09,11.1596328095738,"Up"
"DFFB",-0.330398022632948,10.9779465868214,-6.85576155098138,1.5933158991613e-09,6.49606055447866e-09,11.1510719539065,"Not significant"
"ZNF567",-0.56711820019816,9.30880927215665,-6.85545353501913,1.59544360336771e-09,6.50335459891109e-09,11.1497559252909,"Down"
"CDS2",0.33542518547865,14.5590244872171,6.85498724449134,1.59867000324141e-09,6.51512310531511e-09,11.1477636792707,"Not significant"
"ARHGAP18",0.459241768505861,11.5411723647929,6.85493675094297,1.59901977142986e-09,6.51516585418366e-09,11.1475479453492,"Not significant"
"TMC4",0.792909385276369,9.51279703033067,6.85475176846872,1.60030179214049e-09,6.51900621859863e-09,11.1467576100383,"Up"
"CCDC13",0.534143365286566,8.80758559885925,6.85393093205386,1.60600292441106e-09,6.54084287539035e-09,11.1432506568986,"Up"
"RBM12",-0.246363749105259,13.1256046588173,-6.85382881407592,1.60671359587671e-09,6.5420918281826e-09,11.1428143734746,"Not significant"
"MRGBP",0.279522139700152,11.1130034921322,6.85378897305312,1.60699094691128e-09,6.5420918281826e-09,11.1426441592179,"Not significant"
"PDE3B",-0.550688259227425,12.918161789671,-6.85290591794649,1.61315050698927e-09,6.56577557984634e-09,11.138871510094,"Down"
"ZNF777",-0.477164214862057,10.9818363303715,-6.85266640617591,1.61482520836036e-09,6.57119908373468e-09,11.1378482709577,"Not significant"
"PHF20",-0.340389909410877,13.2184625014018,-6.85167629389729,1.62176656147335e-09,6.59804730507896e-09,11.133618414782,"Not significant"
"CCN2",-0.489343582801547,4.36264167630872,-6.85016932410248,1.63238835076185e-09,6.63985458582499e-09,11.1271807678433,"Not significant"
"GRPEL2",-0.470719870308842,10.9886282284324,-6.84949892034579,1.63713583133754e-09,6.65775505488665e-09,11.1243169666777,"Not significant"
"ACAT1",0.529981712204255,11.0453333751245,6.84811937119293,1.64694832823861e-09,6.69624153020666e-09,11.118424076467,"Up"
"NOP9",-0.320815344950748,12.6265518161543,-6.84786941602672,1.64873245674102e-09,6.7020764959352e-09,11.1173563963419,"Not significant"
"ERICH1",0.435306669012156,12.937344315647,6.84450734721298,1.67291759187167e-09,6.79894952734641e-09,11.1029962548729,"Not significant"
"CAPN7",-0.374092221877248,11.6795801744005,-6.84348735374663,1.68032436628883e-09,6.82760660301407e-09,11.0986399645806,"Not significant"
