"SYMBOL","LPS_logFC","LPS_adjP","LPS_regulation","Sepsis_logFC","Sepsis_adjP","Sepsis_regulation","LPS_sig","Sepsis_sig","both_sig","same_direction","overlap_class"
"PSRC1",-0.539963566983919,0.423654833916352,"Not significant",0.327951320597802,1.2364326128247e-05,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"PBRM1",-0.182368806458511,0.423736808235167,"Not significant",-0.222068883185911,5.89549880196874e-06,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"USP3",0.221512550202629,0.423876123254563,"Not significant",0.391985793027921,1.48827067230515e-10,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"CACNB4",0.650615738495676,0.423967937259651,"Not significant",-1.25456551984695,1.39921451675435e-12,"Down",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
"BABAM1",-0.163963022807348,0.423967937259651,"Not significant",0.261932489376477,2.9537557664631e-05,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"ADTRP",0.4761662913365,0.424032006783067,"Not significant",-0.18105452303526,0.283600987734933,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"GABARAPL2",-0.253743434738981,0.424353923124226,"Not significant",0.87214804141779,5.62271552301061e-16,"Up",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
"L3MBTL2",0.124808516933683,0.42455225914587,"Not significant",-0.417968913894043,5.33736702708501e-10,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"CDC40",0.21826904486246,0.424706676196747,"Not significant",0.445564576934538,6.05480214835716e-10,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"CAMK4",0.438869998288765,0.425061367625692,"Not significant",-1.46151924033783,2.53954312161052e-17,"Down",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
"MYO1C",0.180865662342743,0.425136491337335,"Not significant",-0.403400931817369,4.97382395743911e-07,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"NRIP2",-0.34180672898548,0.425168259546645,"Not significant",-0.430303957358416,2.18591191261073e-08,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"ASPH",-0.383354404743418,0.425168259546645,"Not significant",1.53202596920842,1.48166067284149e-17,"Up",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
"AGAP6",-0.364746349591197,0.425168259546645,"Not significant",-0.589161736413265,2.43757031288178e-12,"Down",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"INPP5D",0.223388717350512,0.425240580511336,"Not significant",-0.058440237994401,0.294512887643736,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"NUP37",-0.159723382857737,0.425240580511336,"Not significant",0.4518869392921,2.84427282396861e-11,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"MERTK",-0.721883478148585,0.425240580511336,"Not significant",1.38802523333428,1.85584838126477e-12,"Up",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
