"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"ROPN1L",1.26261118381453,11.9489188130176,11.8101209832968,6.38166378746515e-19,1.58739753511261e-17,32.6112336060209,"Up"
"TRABD",0.615380612705206,14.856656427124,11.8083244263786,6.43016025169432e-19,1.59739155644613e-17,32.6037108381587,"Up"
"GCSAM",-1.16850972386231,10.1050130320388,-11.8065159324934,6.47935346916142e-19,1.60753261845358e-17,32.5961377313117,"Down"
"MS4A6A",1.01956540361722,14.954699846369,11.8038866434849,6.55154955499829e-19,1.62334717554364e-17,32.5851268921414,"Up"
"UBE2G2",-0.520857591589481,13.5121321203693,-11.8015513986529,6.61635007250776e-19,1.6363813025972e-17,32.575346809395,"Down"
"NEURL4",-0.538558756011812,11.8260559463992,-11.80137768885,6.62119602206959e-19,1.6363813025972e-17,32.5746192832727,"Down"
"UBAP1",0.754729222056422,14.5902453511074,11.8003378653603,6.65027853935548e-19,1.6414562826638e-17,32.5702642574667,"Up"
"GPATCH8",-0.562311447055025,12.9068990950141,-11.7966792492347,6.75363077887863e-19,1.66482633949687e-17,32.5549401761917,"Down"
"ICE1",-0.521528854197435,12.260389433057,-11.7949396790899,6.80333725037011e-19,1.67492929767766e-17,32.5476534915289,"Down"
"NSG1",-1.30983404046877,10.1126252419731,-11.7918565446865,6.89234077474607e-19,1.69466862864851e-17,32.5347380975818,"Down"
"ZBTB46",-0.98380482617401,8.42275056009765,-11.7895846364214,6.95867479752538e-19,1.70660832869578e-17,32.5252203069259,"Down"
"ALPK1",0.8159308512285,14.6105091181876,11.7832724085163,7.14636716057517e-19,1.75040419112914e-17,32.4987733117766,"Up"
"PSMB6",0.752076460646,12.7270013337761,11.7819875609353,7.18519127457714e-19,1.75767169484974e-17,32.4933895231184,"Up"
"EDNRB",1.76541550128784,6.24770645093304,11.7796051801774,7.25774186707188e-19,1.7731605225621e-17,32.4834063597571,"Up"
"HP1BP3",-0.51044116718078,14.662980684172,-11.7772453154647,7.33033340626519e-19,1.78861997967612e-17,32.4735169412176,"Down"
