"ensembl_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","gene_label","regulation"
"ENSG00000092094",-1.20484599601794,3.76425817845985,-9.75989633009216,4.13886792737205e-05,0.000713401987819307,2.54286288850074,"OSGEP","55644","O-sialoglycoprotein endopeptidase","OSGEP","Down"
"ENSG00000160194",-1.25228458911992,4.63117409220489,-9.75958050770869,4.13968670150318e-05,0.000713401987819307,2.47699694794114,"NDUFV3","4731","NADH:ubiquinone oxidoreductase subunit V3","NDUFV3","Down"
"ENSG00000138100",-5.15389468213439,-0.16683489603132,-9.75923615494822,4.14057965246536e-05,0.000713401987819307,2.81484912769199,"TRIM54","57159","tripartite motif containing 54","TRIM54","Down"
"ENSG00000257181",1.49403828045948,3.2767687773977,9.75763509509981,4.14473430477086e-05,0.000713401987819307,2.58476091016792,NA,NA,NA,"ENSG00000257181","Up"
"ENSG00000136147",1.9048717972644,4.09524779767424,9.75705697698086,4.14623565900811e-05,0.000713401987819307,2.51091544248125,"PHF11","51131","PHD finger protein 11","PHF11","Up"
"ENSG00000111452",-4.158957335128,0.341054842004544,-9.75225379169754,4.15873349084574e-05,0.000714900679778809,2.87675489532079,"ADGRD1","283383","adhesion G protein-coupled receptor D1","ADGRD1","Down"
"ENSG00000043143",3.12055932622111,5.33516980618954,9.75053874128574,4.16320648104592e-05,0.00071501840154451,2.47330053362372,"JADE2","23338","jade family PHD finger 2","JADE2","Up"
"ENSG00000273824",6.42652283778023,-2.1540749664326,9.74347414827497,4.18168969787431e-05,0.0007164680536985,2.35409072019729,NA,NA,NA,"ENSG00000273824","Up"
"ENSG00000108932",2.00612202609946,4.84934395693833,9.74184519140579,4.18596488834838e-05,0.0007164680536985,2.46174292829748,"SLC16A6","9120","solute carrier family 16 member 6","SLC16A6","Up"
"ENSG00000084774",-2.37174003723785,5.05190614774444,-9.74162762170258,4.18653627797747e-05,0.0007164680536985,2.47409204914958,"CAD","790","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase","CAD","Down"
"ENSG00000110047",3.28994187613904,6.27238318160752,9.74151559036799,4.18683053366594e-05,0.0007164680536985,2.4454448426452,"EHD1","10938","EH domain containing 1","EHD1","Up"
"ENSG00000172766",-1.63841303526714,3.13148639505914,-9.73808400512965,4.19585524230748e-05,0.000717362026255016,2.61574957433293,"NAA16","79612","N-alpha-acetyltransferase 16, NatA auxiliary subunit","NAA16","Down"
"ENSG00000148411",-1.891588738202,6.25142344336999,-9.73320526857249,4.20872418637503e-05,0.000718911031835553,2.43270478446687,"NACC2","138151","NACC family member 2","NACC2","Down"
"ENSG00000100300",-1.1750043535789,7.06293405117587,-9.7316753480746,4.21276905791944e-05,0.000718951319785077,2.4322377774514,"TSPO","706","translocator protein","TSPO","Down"
"ENSG00000134531",-2.44623604529191,8.53931975288127,-9.72205559700852,4.23830442352088e-05,0.000721505787682284,2.42961688841678,"EMP1","2012","epithelial membrane protein 1","EMP1","Down"
"ENSG00000135677",1.10265565437735,10.1776417372334,9.72183452446702,4.23889333470335e-05,0.000721505787682284,2.4311792950429,"GNS","2799","glucosamine (N-acetyl)-6-sulfatase","GNS","Up"
"ENSG00000118507",1.47549400291107,2.62981056967008,9.72171759217451,4.23920486643525e-05,0.000721505787682284,2.64206015013512,"AKAP7","9465","A-kinase anchoring protein 7","AKAP7","Up"
"ENSG00000163399",-1.37384278253069,8.88217318380729,-9.7182991364947,4.24832393570773e-05,0.000721985580624452,2.42912141379262,"ATP1A1","476","ATPase Na+/K+ transporting subunit alpha 1","ATP1A1","Down"
"ENSG00000127314",1.21772539217447,7.36458936310589,9.71779372862355,4.24967406661598e-05,0.000721985580624452,2.42521024628608,"RAP1B","5908","RAP1B, member of RAS oncogene family","RAP1B","Up"
