"ensembl_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","gene_label","regulation"
"ENSG00000252010",0.309221490332738,4.241329167464,2.28622204316778,0.0590871059206716,0.106648262140269,-5.50267823094135,"SCARNA5","677775","small Cajal body-specific RNA 5","SCARNA5","Not significant"
"ENSG00000085840",-0.830682081123213,1.1069534223981,-2.28618523860285,0.0590902000245263,0.106648262140269,-4.9447502294517,"ORC1","4998","origin recognition complex subunit 1","ORC1","Not significant"
"ENSG00000251348",1.26910337394535,-2.24016096841195,2.28580811067982,0.0591219141816561,0.106695298802826,-4.30660950675222,NA,NA,NA,"ENSG00000251348","Not significant"
"ENSG00000064703",-0.301944646237867,3.25779126722422,-2.2857047931138,0.0591306056073079,0.106696530310008,-5.37764080573583,"DDX20","11218","DEAD-box helicase 20","DDX20","Not significant"
"ENSG00000232118",1.01931315476583,-1.92761496642411,2.28566560989673,0.0591339021760527,0.106696530310008,-4.42573334822008,NA,NA,NA,"ENSG00000232118","Not significant"
"ENSG00000204644",-0.805996486725403,-1.54216905854492,-2.28550765672428,0.0591471930311092,0.106710310501069,-4.72566857987756,"ZFP57","346171","ZFP57 zinc finger protein","ZFP57","Not significant"
"ENSG00000142408",1.87318910985385,-3.61217949167668,2.2848434338946,0.0592031171474537,0.106800997434597,-4.09381394350848,"CACNG8","59283","calcium voltage-gated channel auxiliary subunit gamma 8","CACNG8","Not significant"
"ENSG00000226751",2.16146024180638,-3.24498805097763,2.28449134591369,0.0592327831363374,0.106844302532336,-4.15819462637334,NA,NA,NA,"ENSG00000226751","Not significant"
"ENSG00000067560",-0.320813801200394,9.32693361434767,-2.28368243656484,0.059300997477603,0.106957126363092,-5.53325951912525,"RHOA","387","ras homolog family member A","RHOA","Not significant"
"ENSG00000164111",0.305043314551879,9.37556356663569,2.28339589198455,0.0593251807686436,0.106990520447941,-5.53374835546862,"ANXA5","308","annexin A5","ANXA5","Not significant"
"ENSG00000146587",-0.455703611840855,3.62065114518202,-2.28308556511644,0.0593513826127893,0.107027548181561,-5.43353241217297,"RBAK","57786","RB associated KRAB zinc finger","RBAK","Not significant"
"ENSG00000253719",0.2585091500379,5.58933101838956,2.28287837831008,0.059368882638359,0.107048878467618,-5.55412433745371,"ATXN7L3B","552889","ataxin 7 like 3B","ATXN7L3B","Not significant"
