"probe_id","symbol_raw","SYMBOL"
"1553103_at","NFX1","NFX1"
"1553105_s_at","DSG2","DSG2"
"1553106_at","C5orf24","C5ORF24"
"1553107_s_at","C5orf24","C5ORF24"
"1553108_at","C5orf24","C5ORF24"
"1553111_a_at","KBTBD6","KBTBD6"
"1553112_s_at","CDK8","CDK8"
"1553113_s_at","CDK8","CDK8"
"1553114_a_at","PTK6","PTK6"
"1553115_at","NKD1","NKD1"
"1553117_a_at","STK38","STK38"
"1553118_at","THEM4","THEM4"
"1553120_at","CLSPN","CLSPN"
"1553122_s_at","RBAK","RBAK"
"1553123_at","WDR62","WDR62"
"1553125_x_at","WDR62","WDR62"
"1553126_a_at","SLC39A12","SLC39A12"
"1553127_a_at","RNF168","RNF168"
"1553129_at","SVEP1","SVEP1"
"1553130_at","LOC652276","LOC652276"
"1553131_a_at","GATA4","GATA4"
"1553132_a_at","TC2N","TC2N"
"1553133_at","C9orf72","C9ORF72"
"1553134_s_at","C9orf72","C9ORF72"
"1553136_at","KCTD18","KCTD18"
"1553137_s_at","KLF11","KLF11"
"1553138_a_at","ANKLE1","ANKLE1"
"1553139_s_at","PLXNA3","PLXNA3"
"1553140_at","PELO","PELO"
"1553141_at","LACC1","LACC1"
"1553142_at","LACC1","LACC1"
"1553145_at","TAPT1-AS1","TAPT1-AS1"
"1553146_at","C3orf30","C3ORF30"
"1553147_at","RANBP3L","RANBP3L"
"1553148_a_at","SNX13","SNX13"
"1553150_at","KDM1B","KDM1B"
"1553151_at","ATP6V0D2","ATP6V0D2"
"1553153_at","ATP6V0D2","ATP6V0D2"
"1553155_x_at","ATP6V0D2","ATP6V0D2"
"1553156_at","LHX4","LHX4"
"1553157_at","LHX4","LHX4"
"1553158_at","CEP19","CEP19"
"1553159_at","DNAH11","DNAH11"
"1553162_x_at","PROSER3","PROSER3"
"1553163_at","ADPRHL1","ADPRHL1"
"1553165_at","SYNRG","SYNRG"
"1553166_at","CDH24","CDH24"
